Date,Open,High,Low,Close,Adj Close,Volume
2011-10-01,0.872220,0.000000,0.000000,0.872480,0.872480,0
2011-11-01,0.876140,0.000000,0.000000,0.863140,0.863140,0
2011-12-01,0.829300,0.814000,0.703000,0.731500,0.731500,1215725388
2012-01-01,0.723000,0.739000,0.615000,0.650000,0.650000,1836441452
2012-02-01,0.651000,0.774000,0.648000,0.737000,0.737000,2227853905
2012-03-01,0.733000,0.802000,0.677000,0.683000,0.683000,1518281316
2012-04-01,0.680000,0.732000,0.664000,0.688000,0.688000,998259242
2012-05-01,0.696000,0.747000,0.689000,0.740000,0.740000,1394113088
2012-06-01,0.739000,0.763000,0.710000,0.733100,0.733100,1130663484
2012-07-01,0.740000,0.758000,0.678000,0.683000,0.683000,1198309530
2012-08-01,0.682000,0.762000,0.682000,0.713000,0.713000,1478021527
2012-09-01,0.710000,0.776000,0.664000,0.696000,0.696000,1418671003
2012-10-01,0.690000,0.730000,0.680000,0.695000,0.695000,633855448
2012-11-01,0.697000,0.708000,0.604000,0.608000,0.608000,358968782
2012-12-01,0.608000,0.715000,0.589000,0.713000,0.713000,918566223
2013-01-01,0.720000,0.797000,0.700000,0.780000,0.780000,928451544
2013-02-01,0.778000,0.864000,0.766000,0.860000,0.860000,1042084975
2013-03-01,0.860000,0.904000,0.817000,0.860000,0.860000,1148039008
2013-04-01,0.861000,0.937000,0.815000,0.890000,0.890000,605513524
2013-05-01,0.887000,1.089000,0.878000,1.067000,1.067000,1481003085
2013-06-01,1.060000,1.090000,0.902000,1.009200,1.009200,1365787232
2013-07-01,1.002000,1.203000,1.000000,1.122000,1.122000,5248742508
2013-08-01,1.123000,1.234000,1.110000,1.171000,1.171000,4302120972
2013-09-01,1.170000,1.350000,1.164000,1.346000,1.346000,2462233546
2013-10-01,1.350000,1.399000,1.184000,1.211000,1.211000,2639352232
2013-11-01,1.206000,1.344000,1.168000,1.341000,1.341000,2740363750
2013-12-01,1.270000,1.293000,1.172000,1.274000,1.274000,2815501257
2014-01-01,1.273000,1.480000,1.273000,1.463000,1.463000,3129293734
2014-02-01,1.451000,1.534000,1.360000,1.400000,1.400000,3738584531
2014-03-01,1.400000,1.456000,1.280000,1.297000,1.297000,3885842738
2014-04-01,1.298000,1.363000,1.220000,1.254000,1.254000,2827885914
2014-05-01,1.253000,1.321000,1.186000,1.291000,1.291000,2884297836
2014-06-01,1.291000,1.375000,1.275000,1.372000,1.372000,3883896010
2014-07-01,1.376000,1.398000,1.228000,1.313000,1.313000,4174251156
2014-08-01,1.310000,1.435000,1.285000,1.394000,1.394000,3291284504
2014-09-01,1.395000,1.501000,1.395000,1.500000,1.500000,2488754535
2014-10-01,1.501000,1.524000,1.429000,1.473000,1.473000,1677427775
2014-11-01,1.475000,1.537000,1.395000,1.524000,1.524000,2761929800
2014-12-01,1.520000,1.617000,1.411000,1.430000,1.430000,4274091687
2015-01-01,1.405000,1.700000,1.393000,1.623000,1.623000,6477432124
2015-02-01,1.609000,1.863000,1.604000,1.863000,1.863000,3801995212
2015-03-01,1.868000,2.311000,1.855000,2.247000,2.247000,9760951019
2015-04-01,2.241000,2.810000,2.240000,2.748000,2.748000,10434205963
2015-05-01,2.758000,3.508000,2.641000,3.384000,3.384000,14622301251
2015-06-01,3.398000,3.845000,2.250000,2.733000,2.733000,15827994116
2015-07-01,2.660000,2.858000,1.887000,2.368000,2.368000,13324439754
2015-08-01,2.325000,2.645000,1.702000,1.830000,1.830000,6380681742
2015-09-01,1.797000,2.004000,1.621000,1.935000,1.935000,4914986350
2015-10-01,2.035000,2.474000,1.993000,2.349000,2.349000,4977474742
2015-11-01,2.273000,2.755000,2.273000,2.520000,2.520000,6834018372
2015-12-01,2.510000,2.679000,2.384000,2.539000,2.539000,5548599063
2016-01-01,2.531000,2.538000,1.794000,1.879000,1.879000,5991841293
2016-02-01,1.875000,2.145000,1.755000,1.770000,1.770000,7261454753
2016-03-01,1.776000,2.160000,1.736000,2.119000,2.119000,14594816990
2016-04-01,2.109000,2.221000,1.980000,2.033000,2.033000,9276131889
2016-05-01,2.036000,2.127000,1.879000,2.069000,2.069000,8092117102
2016-06-01,2.067000,2.149000,1.947000,2.132000,2.132000,8151054018
2016-07-01,2.137000,2.201000,2.017000,2.031000,2.031000,6482850539
2016-08-01,2.024000,2.122000,1.981000,2.099000,2.099000,5193356401
2016-09-01,2.099000,2.135000,2.025000,2.062000,2.062000,2902167595
2016-10-01,2.071000,2.125000,2.057000,2.071000,2.071000,1905234346
2016-11-01,2.071000,2.118000,2.012000,2.092000,2.092000,3938795389
2016-12-01,2.090000,2.097000,1.848000,1.881200,1.881200,2911556072
2017-01-01,1.882000,1.909000,1.711000,1.804000,1.804000,1973304948
2017-02-01,1.806000,1.864000,1.794000,1.846000,1.846000,1581213984
2017-03-01,1.842000,1.900000,1.811000,1.826000,1.826000,2174171349
2017-04-01,1.831000,1.871000,1.721000,1.777000,1.777000,1580725220
2017-05-01,1.775000,1.781000,1.657000,1.692000,1.692000,3775812740
2017-06-01,1.687000,1.763000,1.643000,1.748000,1.748000,3812410704
2017-07-01,1.747000,1.766000,1.554000,1.652000,1.652000,3202967600
2017-08-01,1.651000,1.771000,1.630000,1.765000,1.765000,3610996188
2017-09-01,1.768000,1.828000,1.734000,1.780000,1.780000,2298752635
2017-10-01,1.780000,1.840000,1.759000,1.773000,1.773000,1770794813
2017-11-01,1.773000,1.808000,1.657000,1.663000,1.663000,2183031880
2017-12-01,1.665000,1.699000,1.626000,1.680800,1.680800,2213546535
2018-01-01,1.644000,1.751000,1.601000,1.633000,1.633000,5528407324
2018-02-01,1.634000,1.672000,1.480000,1.651000,1.651000,6555161863
2018-03-01,1.640000,1.795000,1.595000,1.791000,1.791000,11804289247
2018-04-01,1.805000,1.810000,1.631000,1.707000,1.707000,10343823298
2018-05-01,1.707000,1.772000,1.621000,1.649000,1.649000,9629127649
2018-06-01,1.641000,1.657000,1.427000,1.523900,1.523900,10127141759
2018-07-01,1.517000,1.567000,1.443000,1.489000,1.489000,11666698012
2018-08-01,1.494000,1.507000,1.340000,1.369000,1.369000,15979271621
2018-09-01,1.364000,1.394000,1.282000,1.346000,1.346000,13575527212
2018-10-01,1.346000,1.346000,1.136000,1.216000,1.216000,18544548743
2018-11-01,1.231000,1.345000,1.227000,1.264000,1.264000,20769760914
2018-12-01,1.301000,1.326000,1.186000,1.194000,1.194000,12765048381
2019-01-01,1.194000,1.232000,1.152000,1.178000,1.178000,13804334898
2019-02-01,1.182000,1.519000,1.182000,1.470000,1.470000,14817644283
2019-03-01,1.489000,1.715000,1.466000,1.624000,1.624000,23042443076
2019-04-01,1.635000,1.716000,1.540000,1.553000,1.553000,14694628926
