Date,Open,High,Low,Close,Adj Close,Volume
2011-10-01,10315.959961,10637.099609,9653.509766,10480.910156,10480.792969,1025300
2011-11-01,10389.019531,10791.389648,9626.759766,9693.389648,9693.281250,1319900
2011-12-01,9976.519531,10102.349609,8555.120117,8918.820313,8918.720703,1053000
2012-01-01,8980.759766,9503.370117,8486.580078,9303.650391,9303.546875,1093300
2012-02-01,9277.790039,10333.919922,9173.070313,10054.839844,10054.726563,1655700
2012-03-01,10011.120117,10529.000000,9352.169922,9410.259766,9410.154297,1683600
2012-04-01,9410.969727,10258.570313,9388.780273,10180.389648,10180.275391,1267500
2012-05-01,10319.480469,10616.280273,9755.589844,10141.410156,10141.295898,1674200
2012-06-01,10142.120117,10262.049805,9351.799805,9500.320313,9500.213867,1095500
2012-07-01,9575.089844,9853.730469,9033.919922,9059.219727,9059.119141,1371600
2012-08-01,9047.589844,9344.089844,8132.359863,8210.990234,8210.898438,1254200
2012-09-01,8220.309570,8865.650391,8095.520020,8679.219727,8679.122070,1388400
2012-10-01,8677.990234,8861.040039,8339.660156,8469.799805,8469.705078,973700
2012-11-01,8473.030273,8739.830078,7786.839844,7903.250000,7903.161133,881600
2012-12-01,7903.250000,9119.200195,7660.450195,9116.480469,9116.377930,1936800
2013-01-01,9204.110352,9804.730469,8976.019531,9667.669922,9667.561523,2201100
2013-02-01,9648.919922,10057.969727,9193.929688,9641.440430,9641.332031,1628300
2013-03-01,9630.870117,9679.450195,8879.290039,8889.769531,8889.669922,1856500
2013-04-01,8901.639648,9142.900391,8645.190430,8691.389648,8691.291992,1269400
2013-05-01,8643.900391,9511.179688,8597.709961,9257.950195,9257.846680,1761300
2013-06-01,9259.480469,9345.660156,7045.600098,7694.470215,7694.383789,1459300
2013-07-01,7649.299805,8281.549805,7544.779785,7765.399902,7765.312500,2940300
2013-08-01,7819.450195,8476.049805,7789.930176,8202.480469,8202.388672,2914200
2013-09-01,8214.950195,8766.700195,8148.169922,8514.570313,8514.475586,2971900
2013-10-01,8505.110352,8815.750000,8214.540039,8444.410156,8444.315430,2793800
2013-11-01,8433.759766,8630.379883,8054.959961,8542.610352,8542.514648,2324900
2013-12-01,8461.490234,8648.009766,7887.370117,8121.790039,8121.699219,2104900
2014-01-01,8083.770020,8124.560059,7477.790039,7572.629883,7572.544922,2013300
2014-02-01,7515.089844,7997.020020,7174.330078,7365.930176,7365.847656,2510800
2014-03-01,7349.950195,7410.660156,6959.250000,7189.580078,7189.499512,2363300
2014-04-01,7184.069824,7618.569824,7177.850098,7312.859863,7312.777832,1993600
2014-05-01,7289.240234,7432.350098,7075.319824,7364.830078,7364.747559,1690300
2014-06-01,7365.609863,7433.540039,7134.540039,7343.279785,7343.197754,1607600
2014-07-01,7340.589844,7957.459961,7146.450195,7956.910156,7956.821289,2906100
2014-08-01,7919.779785,8074.419922,7735.680176,7841.700195,7841.612305,3326500
2014-09-01,7852.910156,8251.059570,7852.870117,8080.350098,8080.259766,3846800
2014-10-01,8134.370117,8260.230469,7803.459961,8225.610352,8225.518555,3631000
2014-11-01,8245.030273,9010.169922,8137.419922,9002.230469,9002.129883,5101100
2014-12-01,9029.639648,11050.849609,9027.299805,11014.620117,11014.497070,10467800
2015-01-01,11150.980469,11749.139648,10634.620117,11150.690430,11150.565430,6178400
2015-02-01,10952.139648,11819.419922,10715.429688,11757.679688,11757.547852,3668800
2015-03-01,11869.959961,13538.290039,11169.049805,13160.660156,13160.512695,8593300
2015-04-01,13187.419922,15009.730469,13142.400391,14818.639648,14818.473633,12157700
2015-05-01,14846.480469,17153.800781,14027.599609,16100.450195,16100.269531,25676000
2015-06-01,16247.389648,18211.759766,12723.160156,14337.969727,14337.808594,44788800
2015-07-01,14185.099609,14696.980469,10850.379883,12374.250000,12374.111328,41974500
2015-08-01,12178.570313,13652.540039,9713.990234,10549.160156,10549.041992,32106600
2015-09-01,10388.500000,10702.179688,9259.650391,9988.250000,9988.138672,23272600
2015-10-01,10332.240234,11834.070313,10265.000000,11546.049805,11545.919922,27569200
2015-11-01,11306.200195,12970.469727,11200.599609,12037.860352,12037.725586,36702100
2015-12-01,12022.839844,13187.049805,11830.990234,12664.889648,12664.748047,28872000
2016-01-01,12650.719727,12659.410156,8986.519531,9418.200195,9418.094727,21702400
2016-02-01,9389.620117,10397.519531,9000.889648,9097.360352,9097.257813,15989600
2016-03-01,9116.559570,10552.580078,9011.509766,10455.370117,10455.252930,26798600
2016-04-01,10410.679688,10810.410156,9976.049805,10141.540039,10141.425781,20823700
2016-05-01,10144.150391,10501.440430,9544.120117,10159.929688,10159.815430,17077600
2016-06-01,10184.230469,10527.690430,9779.110352,10489.990234,10489.873047,21033400
2016-07-01,10506.219727,10890.019531,10262.299805,10329.440430,10329.324219,24502700
2016-08-01,10289.889648,10946.740234,10086.650391,10757.879883,10757.759766,21973700
2016-09-01,10759.759766,10903.639648,10352.019531,10567.580078,10567.460938,14629900
2016-10-01,10612.209961,10871.660156,10584.700195,10704.299805,10704.179688,12907300
2016-11-01,10714.820313,11124.809570,10575.160156,11012.190430,11012.067383,21352000
2016-12-01,11037.110352,11090.929688,10062.370117,10177.139648,10177.025391,15872600
2017-01-01,10205.139648,10396.900391,9482.839844,10052.049805,10051.937500,10567100
2017-02-01,10061.290039,10454.160156,9984.639648,10391.339844,10391.223633,12597200
2017-03-01,10387.629883,10666.120117,10308.219727,10428.719727,10428.602539,16978500
2017-04-01,10496.780273,10702.879883,10015.889648,10234.650391,10234.536133,17455000
2017-05-01,10205.660156,10244.349609,9566.419922,9864.839844,9864.729492,15043700
2017-06-01,9833.820313,10548.799805,9637.540039,10529.610352,10529.493164,16621600
2017-07-01,10531.730469,10574.209961,9960.559570,10505.040039,10504.922852,21555800
2017-08-01,10496.709961,10837.389648,10281.629883,10816.639648,10816.517578,20160000
2017-09-01,10822.490234,11199.190430,10807.769531,11087.190430,11087.065430,2206500
2017-10-01,11248.349609,11509.019531,11140.339844,11367.620117,11367.575195,1658900
2017-11-01,11370.519531,11714.980469,10908.700195,10944.099609,10944.056641,2341300
2017-12-01,10941.870117,11176.580078,10716.290039,11040.450195,11040.407227,1704000
2018-01-01,11079.639648,11633.459961,11072.870117,11159.679688,11159.635742,2443800
2018-02-01,11145.410156,11171.360352,9868.830078,10828.730469,10828.687500,1440200
2018-03-01,10754.620117,11335.299805,10217.219727,10868.650391,10868.607422,2182900
2018-04-01,10887.469727,10950.219727,10228.089844,10324.469727,10324.428711,1674100
2018-05-01,10356.190430,10789.759766,10097.480469,10295.730469,10295.690430,1710400
2018-06-01,10247.160156,10411.559570,9065.200195,9379.469727,9379.432617,1425400
2018-07-01,9369.240234,9514.940430,8736.360352,9178.780273,9178.744141,1811000
2018-08-01,9205.750000,9235.740234,8241.139648,8465.469727,8465.436523,1685400
2018-09-01,8440.950195,8573.200195,7958.520020,8401.089844,8401.056641,1382200
2018-10-01,8225.839844,8249.389648,7084.439941,7482.830078,7482.800781,1547400
2018-11-01,7568.200195,8116.729980,7537.919922,7681.750000,7681.719727,2302500
